State Name,County Name,City Name,Latitude,Longitude,Year,CO,NO2,Temperature,Ozone,PM2.5,Humidity,SO2,Wind Speed
Alabama,Madison,Huntsville,34.68547,-86.58816,2015,,,,0.0435005,8.335416500000001,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2016,,,,0.04688275,7.498395,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2017,,,,0.04370275,7.442973,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2018,,,,0.04457175,7.501989,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2020,,,,0.0409155,7.0524640000000005,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2021,,,,0.04186925,7.333121,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2022,,,65.622501,0.0433505,7.248045722222222,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2023,,,64.535722,0.044207250000000003,8.853916722222221,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2024,,,41.487275,0.04246825,7.20770423076923,,,
Alabama,Madison,Huntsville,34.68547,-86.58816,2025,,,,0.038204,7.005936461538462,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2015,,,,0.04058775,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2016,,,,0.045499750000000005,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2017,,,,0.042573,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2018,,,,0.042941999999999994,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2020,,,,0.03814825,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2021,,,,0.0407715,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2022,,,,0.042366,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2023,,,,0.04565525,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2024,,,,0.04530675,,,,
Alabama,Madison,Huntsville,34.772727,-86.756174,2025,,,,0.04298775,,,,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2015,,,,0.03820575,8.38,,,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2016,,,,0.039707,8.078512,,0.930918,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2017,,,,0.0404795,7.953153,,0.634881,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2018,,,,0.04043225,8.097297,,0.7009312,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2020,,,,0.03571275,8.013636,,0.9811810000000001,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2021,,,,0.038267749999999996,7.693043,,0.9003935999999999,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2022,,,,0.039833,7.956881,,1.1880878,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2023,,,,0.042498,8.787349666666666,,1.0468974,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2024,,,,0.04090825,8.076176111111112,,1.2610278000000001,
Alabama,Mobile,Chickasaw,30.770181,-88.087761,2025,,,,0.04038325,7.581459444444444,,0.6600416,
Alabama,Mobile,Theodore,30.474305,-88.141022,2015,,,,0.040493249999999995,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2016,,,,0.0397775,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2017,,,,0.04016225,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2018,,,,0.0410695,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2020,,,,0.032656,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2021,,,,0.0378405,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2022,,,,0.03931375,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2023,,,,0.04222175,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2024,,,,0.0410815,,,,
Alabama,Mobile,Theodore,30.474305,-88.141022,2025,,,,0.03990025,,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2015,,,,0.040868749999999995,8.9872385,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2016,,,,0.0443165,8.604894999999999,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2017,,,,0.04148725,8.6393375,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2018,,,,0.0398835,8.3495185,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2020,,,,0.03662575,7.857126,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2021,,,,0.0393825,7.844679,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2022,,,,0.04282325,7.6614335,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2023,,,,0.046587500000000004,8.7728374,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2024,,,,0.042178,7.808058999999999,,,
Alabama,Montgomery,Montgomery,32.412811,-86.263394,2025,,,,0.04066975,7.859602882352941,,,
